content_id,created_at,topic,primary_title,output_file,channel,read_count,avg_read_time,like_count,share_count,lead_count,completion_rate
20260323-e9abe926,2026-03-23 13:10:20,普通女生如何做一次有效的视频复盘并找到下一条增长点,这条视频我复盘完，发现问题不在努力,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260323_131020_girl_recap_topic-e9abe926.md,视频号,0,0,0,0,0,0
20260323-0c87888e,2026-03-23 13:10:20,普通女生做视频号的三步实操方法：选题、标题、发布,普通女生做视频号，先别急着求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260323_131020_girl_videohao_topic-d8c617ce.md,视频号,0,0,0,0,0,0
20260323-7fbdae0f,2026-03-23 13:10:20,普通女生拍视频如何克服镜头尴尬并稳定输出,拍视频总尴尬？你可能只差这3步,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260323_131020_girl_shooting_topic-7fbdae0f.md,视频号,0,0,0,0,0,0
20260323-e9abe926,2026-03-23 13:14:37,普通女生如何做一次有效的视频复盘并找到下一条增长点,这条视频我复盘完，发现问题不在努力,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260323_131437_girl_recap_topic-e9abe926.md,视频号,0,0,0,0,0,0
20260323-0c87888e,2026-03-23 13:14:37,普通女生做视频号的三步实操方法：选题、标题、发布,普通女生做视频号，先别急着求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260323_131437_girl_videohao_topic-d8c617ce.md,视频号,0,0,0,0,0,0
20260323-7fbdae0f,2026-03-23 13:14:37,普通女生拍视频如何克服镜头尴尬并稳定输出,拍视频总尴尬？你可能只差这3步,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260323_131437_girl_shooting_topic-7fbdae0f.md,视频号,0,0,0,0,0,0
20260323-e9abe926,2026-03-23 13:20:06,普通女生如何做一次有效的视频复盘并找到下一条增长点,这条视频我复盘完，发现问题不在努力,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260323_132006_girl_recap_topic-e9abe926.md,视频号,0,0,0,0,0,0
20260323-0c87888e,2026-03-23 13:20:06,普通女生做视频号的三步实操方法：选题、标题、发布,普通女生做视频号，先别急着求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260323_132006_girl_videohao_topic-d8c617ce.md,视频号,0,0,0,0,0,0
20260323-7fbdae0f,2026-03-23 13:20:06,普通女生拍视频如何克服镜头尴尬并稳定输出,拍视频总尴尬？你可能只差这3步,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260323_132006_girl_shooting_topic-7fbdae0f.md,视频号,0,0,0,0,0,0
20260323-1a829305,2026-03-23 13:27:34,普通人如何做一次有效的视频复盘并找到下一条增长点,这条视频我复盘完，发现问题不在努力,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260323_132734_people_recap_topic-1a829305.md,视频号,0,0,0,0,0,0
20260323-8f0e9653,2026-03-23 13:27:34,普通人做视频号的三步实操方法：选题、标题、发布,普通人做视频号，先别急着求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260323_132734_people_videohao_topic-d71d6e4a.md,视频号,0,0,0,0,0,0
20260323-e70a9454,2026-03-23 13:27:34,普通人拍视频如何克服镜头尴尬并稳定输出,拍视频总尴尬？你可能只差这3步,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260323_132734_people_shooting_topic-e70a9454.md,视频号,0,0,0,0,0,0
20260324-1a829305,2026-03-24 19:40:49,普通人如何做一次有效的视频复盘并找到下一条增长点,复盘不是自责，是提速器：这条视频复盘后我改了顺序,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_194049_people_recap_topic-1a829305.md,视频号,0,0,0,0,0,0
20260324-8f0e9653,2026-03-24 19:40:49,普通人做视频号的三步实操方法：选题、标题、发布,起号先做减法：普通人做视频号别先求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_194049_people_videohao_topic-d71d6e4a.md,视频号,0,0,0,0,0,0
20260324-e70a9454,2026-03-24 19:40:49,普通人拍视频如何克服镜头尴尬并稳定输出,拍摄先求自然再求华丽：拍视频别先追一次过,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_194049_people_shooting_topic-e70a9454.md,视频号,0,0,0,0,0,0
20260324-1a829305,2026-03-24 19:50:10,普通人如何做一次有效的视频复盘并找到下一条增长点,复盘不是自责，是提速器：这条视频复盘后我改了顺序,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_195010_people_recap_topic-1a829305.md,视频号,0,0,0,0,0,0
20260324-8f0e9653,2026-03-24 19:50:10,普通人做视频号的三步实操方法：选题、标题、发布,起号先做减法：普通人做视频号别先求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_195010_people_videohao_topic-d71d6e4a.md,视频号,0,0,0,0,0,0
20260324-e70a9454,2026-03-24 19:50:11,普通人拍视频如何克服镜头尴尬并稳定输出,拍摄先求自然再求华丽：拍视频别先追一次过,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_195011_people_shooting_topic-e70a9454.md,视频号,0,0,0,0,0,0
20260324-1a829305,2026-03-24 19:59:50,普通人如何做一次有效的视频复盘并找到下一条增长点,复盘不是自责，是提速器：这条视频复盘后我改了顺序,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_195950_people_recap_topic-1a829305.md,视频号,0,0,0,0,0,0
20260324-8f0e9653,2026-03-24 19:59:50,普通人做视频号的三步实操方法：选题、标题、发布,起号先做减法：普通人做视频号别先求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_195950_people_videohao_topic-d71d6e4a.md,视频号,0,0,0,0,0,0
20260324-e70a9454,2026-03-24 19:59:50,普通人拍视频如何克服镜头尴尬并稳定输出,拍摄先求自然再求华丽：拍视频别先追一次过,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_195950_people_shooting_topic-e70a9454.md,视频号,0,0,0,0,0,0
20260324-1a829305,2026-03-24 20:02:12,普通人如何做一次有效的视频复盘并找到下一条增长点,复盘不是自责，是提速器：这条视频复盘后我改了顺序,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_200212_people_recap_topic-1a829305.md,视频号,0,0,0,0,0,0
20260324-8f0e9653,2026-03-24 20:02:12,普通人做视频号的三步实操方法：选题、标题、发布,起号先做减法：普通人做视频号别先求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_200212_people_videohao_topic-d71d6e4a.md,视频号,0,0,0,0,0,0
20260324-e70a9454,2026-03-24 20:02:12,普通人拍视频如何克服镜头尴尬并稳定输出,拍摄先求自然再求华丽：拍视频别先追一次过,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_200212_people_shooting_topic-e70a9454.md,视频号,0,0,0,0,0,0
20260324-1a829305,2026-03-24 20:11:04,普通人如何做一次有效的视频复盘并找到下一条增长点,复盘不是自责，是提速器：这条视频复盘后我改了顺序,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_201104_people_recap_topic-1a829305.md,视频号,0,0,0,0,0,0
20260324-8f0e9653,2026-03-24 20:11:04,普通人做视频号的三步实操方法：选题、标题、发布,起号先做减法：普通人做视频号别先求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_201104_people_videohao_topic-d71d6e4a.md,视频号,0,0,0,0,0,0
20260324-e70a9454,2026-03-24 20:11:04,普通人拍视频如何克服镜头尴尬并稳定输出,拍摄先求自然再求华丽：拍视频别先追一次过,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_201104_people_shooting_topic-e70a9454.md,视频号,0,0,0,0,0,0
20260324-cf60e50d,2026-03-24 20:22:05,普通人做视频复盘，先盯这3个秒点，比盯总播放更有用,复盘不是自责，是提速器：这条视频复盘后我改了顺序,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_202205_people_recap_3.md,视频号,0,0,0,0,0,0
20260324-4051d6f6,2026-03-24 20:22:05,我把起号动作砍到3步后，更新反而更稳定,流量不稳先稳流程：普通人做视频号别先求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_202205_people_videohao_3.md,视频号,0,0,0,0,0,0
20260324-e71bcc22,2026-03-24 20:22:05,手机拍视频先别整复杂景别，先把第一句说顺,拍摄先求自然再求华丽：拍视频别先追一次过,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_202205_people_shooting_topic-1e3f9a22.md,视频号,0,0,0,0,0,0
20260324-c25e2df1,2026-03-24 20:22:27,复盘不是找谁对谁错，而是找到下一条最省力的增长点,低播放也能挖出增长点：这条视频复盘后我改了顺序,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_202227_people_recap_topic-d310ee24.md,视频号,0,0,0,0,0,0
